iso_code,country,date,owid_diabetes_prevalence
AGO,Angola,2020-08-13,3.94
AGO,Angola,2020-08-14,3.94
AGO,Angola,2020-08-15,3.94
AGO,Angola,2020-08-16,3.94
AGO,Angola,2020-08-17,3.94
AGO,Angola,2020-08-18,3.94
AGO,Angola,2020-08-19,3.94
AGO,Angola,2020-08-20,3.94
AGO,Angola,2020-08-21,3.94
AGO,Angola,2020-08-22,3.94
AGO,Angola,2020-08-23,3.94
AGO,Angola,2020-08-24,3.94
AGO,Angola,2020-08-25,3.94
AGO,Angola,2020-08-26,3.94
AGO,Angola,2020-08-27,3.94
AGO,Angola,2020-08-28,3.94
AGO,Angola,2020-08-29,3.94
AGO,Angola,2020-08-30,3.94
AGO,Angola,2020-08-31,3.94
AGO,Angola,2020-09-01,3.94
AGO,Angola,2020-09-02,3.94
AGO,Angola,2020-09-03,3.94
AGO,Angola,2020-09-04,3.94
AGO,Angola,2020-09-05,3.94
AGO,Angola,2020-09-06,3.94
AGO,Angola,2020-09-07,3.94
AGO,Angola,2020-09-08,3.94
AGO,Angola,2020-09-09,3.94
AGO,Angola,2020-09-10,3.94
AGO,Angola,2020-09-11,3.94
AGO,Angola,2020-09-12,3.94
AGO,Angola,2020-09-13,3.94
AGO,Angola,2020-09-14,3.94
AGO,Angola,2020-09-15,3.94
AGO,Angola,2020-09-16,3.94
AGO,Angola,2020-09-17,3.94
AGO,Angola,2020-09-18,3.94
AGO,Angola,2020-09-19,3.94
AGO,Angola,2020-09-20,3.94
