iso_code,country,date,owid_gdp_per_capita
AFG,Afghanistan,2020-04-20,1803.987
AFG,Afghanistan,2020-04-21,1803.987
AFG,Afghanistan,2020-04-22,1803.987
AFG,Afghanistan,2020-04-23,1803.987
AFG,Afghanistan,2020-04-24,1803.987
AFG,Afghanistan,2020-04-25,1803.987
AFG,Afghanistan,2020-04-26,1803.987
AFG,Afghanistan,2020-04-27,1803.987
AFG,Afghanistan,2020-04-28,1803.987
AFG,Afghanistan,2020-04-29,1803.987
AFG,Afghanistan,2020-04-30,1803.987
AFG,Afghanistan,2020-05-01,1803.987
AFG,Afghanistan,2020-05-02,1803.987
AFG,Afghanistan,2020-05-03,1803.987
AFG,Afghanistan,2020-05-04,1803.987
AFG,Afghanistan,2020-05-05,1803.987
AFG,Afghanistan,2020-05-06,1803.987
AFG,Afghanistan,2020-05-07,1803.987
AFG,Afghanistan,2020-05-08,1803.987
AFG,Afghanistan,2020-05-09,1803.987
AFG,Afghanistan,2020-05-10,1803.987
AFG,Afghanistan,2020-05-11,1803.987
AFG,Afghanistan,2020-05-12,1803.987
AFG,Afghanistan,2020-05-13,1803.987
AFG,Afghanistan,2020-05-14,1803.987
AFG,Afghanistan,2020-05-15,1803.987
AFG,Afghanistan,2020-05-16,1803.987
AFG,Afghanistan,2020-05-17,1803.987
AFG,Afghanistan,2020-05-18,1803.987
AFG,Afghanistan,2020-05-19,1803.987
AFG,Afghanistan,2020-05-20,1803.987
AFG,Afghanistan,2020-05-21,1803.987
AFG,Afghanistan,2020-05-22,1803.987
AFG,Afghanistan,2020-05-23,1803.987
AFG,Afghanistan,2020-05-24,1803.987
AFG,Afghanistan,2020-05-25,1803.987
AFG,Afghanistan,2020-05-26,1803.987
AFG,Afghanistan,2020-05-27,1803.987
AFG,Afghanistan,2020-05-28,1803.987
AFG,Afghanistan,2020-05-29,1803.987
AFG,Afghanistan,2020-05-30,1803.987
AFG,Afghanistan,2020-05-31,1803.987
AFG,Afghanistan,2020-06-01,1803.987
AFG,Afghanistan,2020-06-02,1803.987
AFG,Afghanistan,2020-06-03,1803.987
AFG,Afghanistan,2020-06-04,1803.987
AFG,Afghanistan,2020-06-05,1803.987
AFG,Afghanistan,2020-06-06,1803.987
AFG,Afghanistan,2020-06-07,1803.987
AFG,Afghanistan,2020-06-08,1803.987
AFG,Afghanistan,2020-06-09,1803.987
AFG,Afghanistan,2020-06-10,1803.987
AFG,Afghanistan,2020-06-11,1803.987
AFG,Afghanistan,2020-06-12,1803.987
AFG,Afghanistan,2020-06-13,1803.987
AFG,Afghanistan,2020-06-14,1803.987
AFG,Afghanistan,2020-06-15,1803.987
AFG,Afghanistan,2020-06-16,1803.987
AFG,Afghanistan,2020-06-17,1803.987
AFG,Afghanistan,2020-06-18,1803.987
AFG,Afghanistan,2020-06-19,1803.987
AFG,Afghanistan,2020-06-20,1803.987
AFG,Afghanistan,2020-06-21,1803.987
AFG,Afghanistan,2020-06-22,1803.987
AFG,Afghanistan,2020-06-23,1803.987
AFG,Afghanistan,2020-06-24,1803.987
AFG,Afghanistan,2020-06-25,1803.987
AFG,Afghanistan,2020-06-26,1803.987
AFG,Afghanistan,2020-06-27,1803.987
AFG,Afghanistan,2020-06-28,1803.987
AFG,Afghanistan,2020-06-29,1803.987
AFG,Afghanistan,2020-06-30,1803.987
AFG,Afghanistan,2020-07-01,1803.987
AFG,Afghanistan,2020-07-02,1803.987
AFG,Afghanistan,2020-07-03,1803.987
AFG,Afghanistan,2020-07-04,1803.987
AFG,Afghanistan,2020-07-05,1803.987
AFG,Afghanistan,2020-07-06,1803.987
AFG,Afghanistan,2020-07-07,1803.987
AFG,Afghanistan,2020-07-08,1803.987
AFG,Afghanistan,2020-07-09,1803.987
AFG,Afghanistan,2020-07-10,1803.987
AFG,Afghanistan,2020-07-11,1803.987
AFG,Afghanistan,2020-07-12,1803.987
AFG,Afghanistan,2020-07-13,1803.987
AFG,Afghanistan,2020-07-14,1803.987
AFG,Afghanistan,2020-07-15,1803.987
AFG,Afghanistan,2020-07-16,1803.987
AFG,Afghanistan,2020-07-17,1803.987
AFG,Afghanistan,2020-07-18,1803.987
AFG,Afghanistan,2020-07-19,1803.987
AFG,Afghanistan,2020-07-20,1803.987
AFG,Afghanistan,2020-07-21,1803.987
AFG,Afghanistan,2020-07-22,1803.987
AFG,Afghanistan,2020-07-23,1803.987
AFG,Afghanistan,2020-07-24,1803.987
AFG,Afghanistan,2020-07-25,1803.987
AFG,Afghanistan,2020-07-26,1803.987
