iso_code,country,date,owid_weekly_excess_mortality_p_score_15_64
ESP,Spain,2020-01-19,0.18
ESP,Spain,2020-01-26,-2.1
ESP,Spain,2020-02-02,10.35
ESP,Spain,2020-02-09,-0.79
ESP,Spain,2020-02-16,-8.54
ESP,Spain,2020-02-23,-3.81
ESP,Spain,2020-03-01,-4.38
ESP,Spain,2020-03-08,-1.87
ESP,Spain,2020-03-15,6.3
ESP,Spain,2020-03-22,25.14
ESP,Spain,2020-03-29,59.1
ESP,Spain,2020-04-05,56.88
ESP,Spain,2020-04-12,26.44
ESP,Spain,2020-04-19,27.33
ESP,Spain,2020-04-26,6.6
ESP,Spain,2020-05-03,5.47
ESP,Spain,2020-05-10,6.36
ESP,Spain,2020-05-17,1.97
ESP,Spain,2020-05-24,2.31
ESP,Spain,2020-05-31,5.13
ESP,Spain,2020-06-07,-5.74
ESP,Spain,2020-06-14,-1.37
ESP,Spain,2020-06-21,-8.1
ESP,Spain,2020-06-28,0.6
ESP,Spain,2020-07-05,3.32
ESP,Spain,2020-07-12,3.52
ESP,Spain,2020-07-19,0.61
ESP,Spain,2020-07-26,10.01
ESP,Spain,2020-08-02,12.7
ESP,Spain,2020-08-09,9.4
ESP,Spain,2020-08-16,12.47
ESP,Spain,2020-08-23,14.48
ESP,Spain,2020-08-30,18.16
ESP,Spain,2020-09-06,12.39
ESP,Spain,2020-09-13,12.78
ESP,Spain,2020-09-20,12.44
ESP,Spain,2020-09-27,11.82
ESP,Spain,2020-10-04,13.73
ESP,Spain,2020-10-11,21.3
ESP,Spain,2020-10-18,10.61
ESP,Spain,2020-10-25,22.02
ESP,Spain,2020-11-01,21.2
ESP,Spain,2020-11-08,19.09
ESP,Spain,2020-11-15,17.24
ESP,Spain,2020-11-22,11.76
ESP,Spain,2020-11-29,10.66
ESP,Spain,2020-12-06,9.4
ESP,Spain,2020-12-13,11.54
ESP,Spain,2020-12-20,6.94
ESP,Spain,2020-12-27,3.32
ESP,Spain,2021-01-03,3.31
ESP,Spain,2021-01-10,4.27
ESP,Spain,2021-01-17,3.9
EST,Estonia,2020-01-05,-8.49
EST,Estonia,2020-01-12,10.22
EST,Estonia,2020-01-19,2.46
EST,Estonia,2020-01-26,-8.78
