iso_code,country,date,owid_population_density
AFG,Afghanistan,2020-05-10,54.422
AFG,Afghanistan,2020-05-11,54.422
AFG,Afghanistan,2020-05-12,54.422
AFG,Afghanistan,2020-05-13,54.422
AFG,Afghanistan,2020-05-14,54.422
AFG,Afghanistan,2020-05-15,54.422
AFG,Afghanistan,2020-05-16,54.422
AFG,Afghanistan,2020-05-17,54.422
AFG,Afghanistan,2020-05-18,54.422
AFG,Afghanistan,2020-05-19,54.422
AFG,Afghanistan,2020-05-20,54.422
AFG,Afghanistan,2020-05-21,54.422
AFG,Afghanistan,2020-05-22,54.422
AFG,Afghanistan,2020-05-23,54.422
AFG,Afghanistan,2020-05-24,54.422
AFG,Afghanistan,2020-05-25,54.422
AFG,Afghanistan,2020-05-26,54.422
AFG,Afghanistan,2020-05-27,54.422
AFG,Afghanistan,2020-05-28,54.422
AFG,Afghanistan,2020-05-29,54.422
AFG,Afghanistan,2020-05-30,54.422
AFG,Afghanistan,2020-05-31,54.422
AFG,Afghanistan,2020-06-01,54.422
AFG,Afghanistan,2020-06-02,54.422
AFG,Afghanistan,2020-06-03,54.422
AFG,Afghanistan,2020-06-04,54.422
AFG,Afghanistan,2020-06-05,54.422
AFG,Afghanistan,2020-06-06,54.422
AFG,Afghanistan,2020-06-07,54.422
AFG,Afghanistan,2020-06-08,54.422
AFG,Afghanistan,2020-06-09,54.422
AFG,Afghanistan,2020-06-10,54.422
AFG,Afghanistan,2020-06-11,54.422
AFG,Afghanistan,2020-06-12,54.422
AFG,Afghanistan,2020-06-13,54.422
AFG,Afghanistan,2020-06-14,54.422
AFG,Afghanistan,2020-06-15,54.422
AFG,Afghanistan,2020-06-16,54.422
AFG,Afghanistan,2020-06-17,54.422
AFG,Afghanistan,2020-06-18,54.422
AFG,Afghanistan,2020-06-19,54.422
AFG,Afghanistan,2020-06-20,54.422
AFG,Afghanistan,2020-06-21,54.422
AFG,Afghanistan,2020-06-22,54.422
AFG,Afghanistan,2020-06-23,54.422
AFG,Afghanistan,2020-06-24,54.422
AFG,Afghanistan,2020-06-25,54.422
AFG,Afghanistan,2020-06-26,54.422
AFG,Afghanistan,2020-06-27,54.422
AFG,Afghanistan,2020-06-28,54.422
AFG,Afghanistan,2020-06-29,54.422
AFG,Afghanistan,2020-06-30,54.422
