iso_code,country,date,owid_male_smokers
MEX,Mexico,2020-06-29,21.4
MEX,Mexico,2020-06-30,21.4
MEX,Mexico,2020-07-01,21.4
MEX,Mexico,2020-07-02,21.4
MEX,Mexico,2020-07-03,21.4
MEX,Mexico,2020-07-04,21.4
MEX,Mexico,2020-07-05,21.4
MEX,Mexico,2020-07-06,21.4
MEX,Mexico,2020-07-07,21.4
MEX,Mexico,2020-07-08,21.4
MEX,Mexico,2020-07-09,21.4
MEX,Mexico,2020-07-10,21.4
MEX,Mexico,2020-07-11,21.4
MEX,Mexico,2020-07-12,21.4
MEX,Mexico,2020-07-13,21.4
MEX,Mexico,2020-07-14,21.4
MEX,Mexico,2020-07-15,21.4
MEX,Mexico,2020-07-16,21.4
MEX,Mexico,2020-07-17,21.4
MEX,Mexico,2020-07-18,21.4
MEX,Mexico,2020-07-19,21.4
MEX,Mexico,2020-07-20,21.4
MEX,Mexico,2020-07-21,21.4
MEX,Mexico,2020-07-22,21.4
MEX,Mexico,2020-07-23,21.4
MEX,Mexico,2020-07-24,21.4
MEX,Mexico,2020-07-25,21.4
MEX,Mexico,2020-07-26,21.4
MEX,Mexico,2020-07-27,21.4
MEX,Mexico,2020-07-28,21.4
MEX,Mexico,2020-07-29,21.4
MEX,Mexico,2020-07-30,21.4
MEX,Mexico,2020-07-31,21.4
MEX,Mexico,2020-08-01,21.4
MEX,Mexico,2020-08-02,21.4
MEX,Mexico,2020-08-03,21.4
MEX,Mexico,2020-08-04,21.4
MEX,Mexico,2020-08-05,21.4
MEX,Mexico,2020-08-06,21.4
MEX,Mexico,2020-08-07,21.4
MEX,Mexico,2020-08-08,21.4
MEX,Mexico,2020-08-09,21.4
MEX,Mexico,2020-08-10,21.4
MEX,Mexico,2020-08-11,21.4
MEX,Mexico,2020-08-12,21.4
MEX,Mexico,2020-08-13,21.4
MEX,Mexico,2020-08-14,21.4
MEX,Mexico,2020-08-15,21.4
MEX,Mexico,2020-08-16,21.4
MEX,Mexico,2020-08-17,21.4
MEX,Mexico,2020-08-18,21.4
MEX,Mexico,2020-08-19,21.4
MEX,Mexico,2020-08-20,21.4
MEX,Mexico,2020-08-21,21.4
MEX,Mexico,2020-08-22,21.4
MEX,Mexico,2020-08-23,21.4
MEX,Mexico,2020-08-24,21.4
MEX,Mexico,2020-08-25,21.4
MEX,Mexico,2020-08-26,21.4
MEX,Mexico,2020-08-27,21.4
MEX,Mexico,2020-08-28,21.4
