iso_code,country,date,owid_median_age
AGO,Angola,2020-07-06,16.8
AGO,Angola,2020-07-07,16.8
AGO,Angola,2020-07-08,16.8
AGO,Angola,2020-07-09,16.8
AGO,Angola,2020-07-10,16.8
AGO,Angola,2020-07-11,16.8
AGO,Angola,2020-07-12,16.8
AGO,Angola,2020-07-13,16.8
AGO,Angola,2020-07-14,16.8
AGO,Angola,2020-07-15,16.8
AGO,Angola,2020-07-16,16.8
AGO,Angola,2020-07-17,16.8
AGO,Angola,2020-07-18,16.8
AGO,Angola,2020-07-19,16.8
AGO,Angola,2020-07-20,16.8
AGO,Angola,2020-07-21,16.8
AGO,Angola,2020-07-22,16.8
AGO,Angola,2020-07-23,16.8
AGO,Angola,2020-07-24,16.8
AGO,Angola,2020-07-25,16.8
AGO,Angola,2020-07-26,16.8
AGO,Angola,2020-07-27,16.8
AGO,Angola,2020-07-28,16.8
AGO,Angola,2020-07-29,16.8
AGO,Angola,2020-07-30,16.8
AGO,Angola,2020-07-31,16.8
AGO,Angola,2020-08-01,16.8
AGO,Angola,2020-08-02,16.8
AGO,Angola,2020-08-03,16.8
AGO,Angola,2020-08-04,16.8
AGO,Angola,2020-08-05,16.8
AGO,Angola,2020-08-06,16.8
AGO,Angola,2020-08-07,16.8
AGO,Angola,2020-08-08,16.8
AGO,Angola,2020-08-09,16.8
AGO,Angola,2020-08-10,16.8
AGO,Angola,2020-08-11,16.8
AGO,Angola,2020-08-12,16.8
AGO,Angola,2020-08-13,16.8
AGO,Angola,2020-08-14,16.8
AGO,Angola,2020-08-15,16.8
AGO,Angola,2020-08-16,16.8
AGO,Angola,2020-08-17,16.8
AGO,Angola,2020-08-18,16.8
AGO,Angola,2020-08-19,16.8
AGO,Angola,2020-08-20,16.8
AGO,Angola,2020-08-21,16.8
AGO,Angola,2020-08-22,16.8
AGO,Angola,2020-08-23,16.8
AGO,Angola,2020-08-24,16.8
AGO,Angola,2020-08-25,16.8
AGO,Angola,2020-08-26,16.8
AGO,Angola,2020-08-27,16.8
AGO,Angola,2020-08-28,16.8
AGO,Angola,2020-08-29,16.8
AGO,Angola,2020-08-30,16.8
AGO,Angola,2020-08-31,16.8
AGO,Angola,2020-09-01,16.8
AGO,Angola,2020-09-02,16.8
AGO,Angola,2020-09-03,16.8
AGO,Angola,2020-09-04,16.8
AGO,Angola,2020-09-05,16.8
