iso_code,country,date,owid_handwashing_facilities
AGO,Angola,2020-04-13,26.664
AGO,Angola,2020-04-14,26.664
AGO,Angola,2020-04-15,26.664
AGO,Angola,2020-04-16,26.664
AGO,Angola,2020-04-17,26.664
AGO,Angola,2020-04-18,26.664
AGO,Angola,2020-04-19,26.664
AGO,Angola,2020-04-20,26.664
AGO,Angola,2020-04-21,26.664
AGO,Angola,2020-04-22,26.664
AGO,Angola,2020-04-23,26.664
AGO,Angola,2020-04-24,26.664
AGO,Angola,2020-04-25,26.664
AGO,Angola,2020-04-26,26.664
AGO,Angola,2020-04-27,26.664
AGO,Angola,2020-04-28,26.664
AGO,Angola,2020-04-29,26.664
AGO,Angola,2020-04-30,26.664
AGO,Angola,2020-05-01,26.664
AGO,Angola,2020-05-02,26.664
AGO,Angola,2020-05-03,26.664
AGO,Angola,2020-05-04,26.664
AGO,Angola,2020-05-05,26.664
AGO,Angola,2020-05-06,26.664
AGO,Angola,2020-05-07,26.664
AGO,Angola,2020-05-08,26.664
AGO,Angola,2020-05-09,26.664
AGO,Angola,2020-05-10,26.664
AGO,Angola,2020-05-11,26.664
AGO,Angola,2020-05-12,26.664
AGO,Angola,2020-05-13,26.664
AGO,Angola,2020-05-14,26.664
AGO,Angola,2020-05-15,26.664
AGO,Angola,2020-05-16,26.664
AGO,Angola,2020-05-17,26.664
AGO,Angola,2020-05-18,26.664
AGO,Angola,2020-05-19,26.664
AGO,Angola,2020-05-20,26.664
AGO,Angola,2020-05-21,26.664
AGO,Angola,2020-05-22,26.664
AGO,Angola,2020-05-23,26.664
AGO,Angola,2020-05-24,26.664
AGO,Angola,2020-05-25,26.664
AGO,Angola,2020-05-26,26.664
AGO,Angola,2020-05-27,26.664
AGO,Angola,2020-05-28,26.664
AGO,Angola,2020-05-29,26.664
AGO,Angola,2020-05-30,26.664
AGO,Angola,2020-05-31,26.664
AGO,Angola,2020-06-01,26.664
AGO,Angola,2020-06-02,26.664
AGO,Angola,2020-06-03,26.664
AGO,Angola,2020-06-04,26.664
AGO,Angola,2020-06-05,26.664
AGO,Angola,2020-06-06,26.664
AGO,Angola,2020-06-07,26.664
AGO,Angola,2020-06-08,26.664
AGO,Angola,2020-06-09,26.664
AGO,Angola,2020-06-10,26.664
AGO,Angola,2020-06-11,26.664
AGO,Angola,2020-06-12,26.664
AGO,Angola,2020-06-13,26.664
AGO,Angola,2020-06-14,26.664
AGO,Angola,2020-06-15,26.664
