iso_code,country,date,owid_life_expectancy
AGO,Angola,2020-06-07,61.15
AGO,Angola,2020-06-08,61.15
AGO,Angola,2020-06-09,61.15
AGO,Angola,2020-06-10,61.15
AGO,Angola,2020-06-11,61.15
AGO,Angola,2020-06-12,61.15
AGO,Angola,2020-06-13,61.15
AGO,Angola,2020-06-14,61.15
AGO,Angola,2020-06-15,61.15
AGO,Angola,2020-06-16,61.15
AGO,Angola,2020-06-17,61.15
AGO,Angola,2020-06-18,61.15
AGO,Angola,2020-06-19,61.15
AGO,Angola,2020-06-20,61.15
AGO,Angola,2020-06-21,61.15
AGO,Angola,2020-06-22,61.15
AGO,Angola,2020-06-23,61.15
AGO,Angola,2020-06-24,61.15
AGO,Angola,2020-06-25,61.15
AGO,Angola,2020-06-26,61.15
AGO,Angola,2020-06-27,61.15
AGO,Angola,2020-06-28,61.15
AGO,Angola,2020-06-29,61.15
AGO,Angola,2020-06-30,61.15
AGO,Angola,2020-07-01,61.15
AGO,Angola,2020-07-02,61.15
AGO,Angola,2020-07-03,61.15
AGO,Angola,2020-07-04,61.15
AGO,Angola,2020-07-05,61.15
AGO,Angola,2020-07-06,61.15
AGO,Angola,2020-07-07,61.15
AGO,Angola,2020-07-08,61.15
AGO,Angola,2020-07-09,61.15
AGO,Angola,2020-07-10,61.15
AGO,Angola,2020-07-11,61.15
AGO,Angola,2020-07-12,61.15
AGO,Angola,2020-07-13,61.15
AGO,Angola,2020-07-14,61.15
AGO,Angola,2020-07-15,61.15
AGO,Angola,2020-07-16,61.15
AGO,Angola,2020-07-17,61.15
AGO,Angola,2020-07-18,61.15
AGO,Angola,2020-07-19,61.15
AGO,Angola,2020-07-20,61.15
AGO,Angola,2020-07-21,61.15
AGO,Angola,2020-07-22,61.15
AGO,Angola,2020-07-23,61.15
AGO,Angola,2020-07-24,61.15
AGO,Angola,2020-07-25,61.15
AGO,Angola,2020-07-26,61.15
AGO,Angola,2020-07-27,61.15
AGO,Angola,2020-07-28,61.15
AGO,Angola,2020-07-29,61.15
AGO,Angola,2020-07-30,61.15
AGO,Angola,2020-07-31,61.15
AGO,Angola,2020-08-01,61.15
AGO,Angola,2020-08-02,61.15
AGO,Angola,2020-08-03,61.15
AGO,Angola,2020-08-04,61.15
AGO,Angola,2020-08-05,61.15
AGO,Angola,2020-08-06,61.15
AGO,Angola,2020-08-07,61.15
AGO,Angola,2020-08-08,61.15
AGO,Angola,2020-08-09,61.15
AGO,Angola,2020-08-10,61.15
AGO,Angola,2020-08-11,61.15
AGO,Angola,2020-08-12,61.15
AGO,Angola,2020-08-13,61.15
AGO,Angola,2020-08-14,61.15
AGO,Angola,2020-08-15,61.15
AGO,Angola,2020-08-16,61.15
AGO,Angola,2020-08-17,61.15
AGO,Angola,2020-08-18,61.15
AGO,Angola,2020-08-19,61.15
AGO,Angola,2020-08-20,61.15
AGO,Angola,2020-08-21,61.15
AGO,Angola,2020-08-22,61.15
AGO,Angola,2020-08-23,61.15
AGO,Angola,2020-08-24,61.15
AGO,Angola,2020-08-25,61.15
AGO,Angola,2020-08-26,61.15
AGO,Angola,2020-08-27,61.15
AGO,Angola,2020-08-28,61.15
AGO,Angola,2020-08-29,61.15
AGO,Angola,2020-08-30,61.15
AGO,Angola,2020-08-31,61.15
AGO,Angola,2020-09-01,61.15
AGO,Angola,2020-09-02,61.15
AGO,Angola,2020-09-03,61.15
AGO,Angola,2020-09-04,61.15
AGO,Angola,2020-09-05,61.15
AGO,Angola,2020-09-06,61.15
AGO,Angola,2020-09-07,61.15
AGO,Angola,2020-09-08,61.15
AGO,Angola,2020-09-09,61.15
AGO,Angola,2020-09-10,61.15
AGO,Angola,2020-09-11,61.15
AGO,Angola,2020-09-12,61.15
AGO,Angola,2020-09-13,61.15
AGO,Angola,2020-09-14,61.15
AGO,Angola,2020-09-15,61.15
AGO,Angola,2020-09-16,61.15
AGO,Angola,2020-09-17,61.15
AGO,Angola,2020-09-18,61.15
AGO,Angola,2020-09-19,61.15
AGO,Angola,2020-09-20,61.15
AGO,Angola,2020-09-21,61.15
AGO,Angola,2020-09-22,61.15
AGO,Angola,2020-09-23,61.15
AGO,Angola,2020-09-24,61.15
AGO,Angola,2020-09-25,61.15
AGO,Angola,2020-09-26,61.15
AGO,Angola,2020-09-27,61.15
AGO,Angola,2020-09-28,61.15
AGO,Angola,2020-09-29,61.15
AGO,Angola,2020-09-30,61.15
AGO,Angola,2020-10-01,61.15
AGO,Angola,2020-10-02,61.15
AGO,Angola,2020-10-03,61.15
AGO,Angola,2020-10-04,61.15
AGO,Angola,2020-10-05,61.15
AGO,Angola,2020-10-06,61.15
AGO,Angola,2020-10-07,61.15
AGO,Angola,2020-10-08,61.15
AGO,Angola,2020-10-09,61.15
AGO,Angola,2020-10-10,61.15
AGO,Angola,2020-10-11,61.15
AGO,Angola,2020-10-12,61.15
AGO,Angola,2020-10-13,61.15
AGO,Angola,2020-10-14,61.15
AGO,Angola,2020-10-15,61.15
AGO,Angola,2020-10-16,61.15
AGO,Angola,2020-10-17,61.15
AGO,Angola,2020-10-18,61.15
AGO,Angola,2020-10-19,61.15
AGO,Angola,2020-10-20,61.15
AGO,Angola,2020-10-21,61.15
AGO,Angola,2020-10-22,61.15
AGO,Angola,2020-10-23,61.15
AGO,Angola,2020-10-24,61.15
AGO,Angola,2020-10-25,61.15
AGO,Angola,2020-10-26,61.15
AGO,Angola,2020-10-27,61.15
AGO,Angola,2020-10-28,61.15
AGO,Angola,2020-10-29,61.15
AGO,Angola,2020-10-30,61.15
AGO,Angola,2020-10-31,61.15
AGO,Angola,2020-11-01,61.15
AGO,Angola,2020-11-02,61.15
AGO,Angola,2020-11-03,61.15
AGO,Angola,2020-11-04,61.15
AGO,Angola,2020-11-05,61.15
AGO,Angola,2020-11-06,61.15
AGO,Angola,2020-11-07,61.15
AGO,Angola,2020-11-08,61.15
AGO,Angola,2020-11-09,61.15
AGO,Angola,2020-11-10,61.15
AGO,Angola,2020-11-11,61.15
AGO,Angola,2020-11-12,61.15
AGO,Angola,2020-11-13,61.15
AGO,Angola,2020-11-14,61.15
AGO,Angola,2020-11-15,61.15
AGO,Angola,2020-11-16,61.15
AGO,Angola,2020-11-17,61.15
AGO,Angola,2020-11-18,61.15
AGO,Angola,2020-11-19,61.15
AGO,Angola,2020-11-20,61.15
AGO,Angola,2020-11-21,61.15
AGO,Angola,2020-11-22,61.15
AGO,Angola,2020-11-23,61.15
AGO,Angola,2020-11-24,61.15
AGO,Angola,2020-11-25,61.15
AGO,Angola,2020-11-26,61.15
AGO,Angola,2020-11-27,61.15
AGO,Angola,2020-11-28,61.15
AGO,Angola,2020-11-29,61.15
AGO,Angola,2020-11-30,61.15
AGO,Angola,2020-12-01,61.15
AGO,Angola,2020-12-02,61.15
AGO,Angola,2020-12-03,61.15
AGO,Angola,2020-12-04,61.15
AGO,Angola,2020-12-05,61.15
AGO,Angola,2020-12-06,61.15
AGO,Angola,2020-12-07,61.15
AGO,Angola,2020-12-08,61.15
AGO,Angola,2020-12-09,61.15
AGO,Angola,2020-12-10,61.15
