country,indicator,date,value
ALB,jhu-deaths,2020-02-25,0
ALB,jhu-deaths,2020-02-26,0
ALB,jhu-deaths,2020-02-27,0
ALB,jhu-deaths,2020-02-28,0
ALB,jhu-deaths,2020-02-29,0
ALB,jhu-deaths,2020-03-01,0
ALB,jhu-deaths,2020-03-02,0
ALB,jhu-deaths,2020-03-03,0
ALB,jhu-deaths,2020-03-04,0
ALB,jhu-deaths,2020-03-05,0
ALB,jhu-deaths,2020-03-06,0
ALB,jhu-deaths,2020-03-07,0
ALB,jhu-deaths,2020-03-08,0
ALB,jhu-deaths,2020-03-09,0
ALB,jhu-deaths,2020-03-10,0
ALB,jhu-deaths,2020-03-11,1
ALB,jhu-deaths,2020-03-12,1
ALB,jhu-deaths,2020-03-13,1
ALB,jhu-deaths,2020-03-14,1
ALB,jhu-deaths,2020-03-15,1
ALB,jhu-deaths,2020-03-16,1
ALB,jhu-deaths,2020-03-17,1
ALB,jhu-deaths,2020-03-18,2
ALB,jhu-deaths,2020-03-19,2
ALB,jhu-deaths,2020-03-20,2
ALB,jhu-deaths,2020-03-21,2
ALB,jhu-deaths,2020-03-22,2
ALB,jhu-deaths,2020-03-23,4
ALB,jhu-deaths,2020-03-24,5
ALB,jhu-deaths,2020-03-25,5
ALB,jhu-deaths,2020-03-26,6
ALB,jhu-deaths,2020-03-27,8
ALB,jhu-deaths,2020-03-28,10
ALB,jhu-deaths,2020-03-29,10
ALB,jhu-deaths,2020-03-30,11
ALB,jhu-deaths,2020-03-31,15
ALB,jhu-deaths,2020-04-01,15
ALB,jhu-deaths,2020-04-02,16
ALB,jhu-deaths,2020-04-03,17
ALB,jhu-deaths,2020-04-04,20
ALB,jhu-deaths,2020-04-05,20
ALB,jhu-deaths,2020-04-06,21
ALB,jhu-deaths,2020-04-07,22
ALB,jhu-deaths,2020-04-08,22
ALB,jhu-deaths,2020-04-09,23
ALB,jhu-deaths,2020-04-10,23
ALB,jhu-deaths,2020-04-11,23
ALB,jhu-deaths,2020-04-12,23
ALB,jhu-deaths,2020-04-13,23
ALB,jhu-deaths,2020-04-14,24
ALB,jhu-deaths,2020-04-15,25
ALB,jhu-deaths,2020-04-16,26
ALB,jhu-deaths,2020-04-17,26
ALB,jhu-deaths,2020-04-18,26
ALB,jhu-deaths,2020-04-19,26
ALB,jhu-deaths,2020-04-20,26
ALB,jhu-deaths,2020-04-21,26
ALB,jhu-deaths,2020-04-22,27
ALB,jhu-deaths,2020-04-23,27
ALB,jhu-deaths,2020-04-24,27
ALB,jhu-deaths,2020-04-25,27
ALB,jhu-deaths,2020-04-26,28
ALB,jhu-deaths,2020-04-27,28
ALB,jhu-deaths,2020-04-28,30
ALB,jhu-deaths,2020-04-29,30
ALB,jhu-deaths,2020-04-30,31
ALB,jhu-deaths,2020-05-01,31
ALB,jhu-deaths,2020-05-02,31
ALB,jhu-deaths,2020-05-03,31
ALB,jhu-deaths,2020-05-04,31
ALB,jhu-deaths,2020-05-05,31
ALB,jhu-deaths,2020-05-06,31
ALB,jhu-deaths,2020-05-07,31
ALB,jhu-deaths,2020-05-08,31
ALB,jhu-deaths,2020-05-09,31
ALB,jhu-deaths,2020-05-10,31
ALB,jhu-deaths,2020-05-11,31
ALB,jhu-deaths,2020-05-12,31
ALB,jhu-deaths,2020-05-13,31
ALB,jhu-deaths,2020-05-14,31
ALB,jhu-deaths,2020-05-15,31
ALB,jhu-deaths,2020-05-16,31
ALB,jhu-deaths,2020-05-17,31
ALB,jhu-deaths,2020-05-18,31
ALB,jhu-deaths,2020-05-19,31
ALB,jhu-deaths,2020-05-20,31
ALB,jhu-deaths,2020-05-21,31
ALB,jhu-deaths,2020-05-22,31
ALB,jhu-deaths,2020-05-23,31
ALB,jhu-deaths,2020-05-24,32
ALB,jhu-deaths,2020-05-25,32
ALB,jhu-deaths,2020-05-26,33
ALB,jhu-deaths,2020-05-27,33
ALB,jhu-deaths,2020-05-28,33
ALB,jhu-deaths,2020-05-29,33
ALB,jhu-deaths,2020-05-30,33
ALB,jhu-deaths,2020-05-31,33
ALB,jhu-deaths,2020-06-01,33
ALB,jhu-deaths,2020-06-02,33
ALB,jhu-deaths,2020-06-03,33
ALB,jhu-deaths,2020-06-04,33
ALB,jhu-deaths,2020-06-05,33
ALB,jhu-deaths,2020-06-06,34
ALB,jhu-deaths,2020-06-07,34
ALB,jhu-deaths,2020-06-08,34
ALB,jhu-deaths,2020-06-09,34
ALB,jhu-deaths,2020-06-10,34
ALB,jhu-deaths,2020-06-11,35
ALB,jhu-deaths,2020-06-12,36
ALB,jhu-deaths,2020-06-13,36
ALB,jhu-deaths,2020-06-14,36
ALB,jhu-deaths,2020-06-15,36
ALB,jhu-deaths,2020-06-16,37
ALB,jhu-deaths,2020-06-17,38
ALB,jhu-deaths,2020-06-18,39
ALB,jhu-deaths,2020-06-19,42
ALB,jhu-deaths,2020-06-20,43
ALB,jhu-deaths,2020-06-21,44
ALB,jhu-deaths,2020-06-22,44
ALB,jhu-deaths,2020-06-23,45
ALB,jhu-deaths,2020-06-24,47
ALB,jhu-deaths,2020-06-25,49
ALB,jhu-deaths,2020-06-26,51
ALB,jhu-deaths,2020-06-27,53
ALB,jhu-deaths,2020-06-28,55
ALB,jhu-deaths,2020-06-29,58
ALB,jhu-deaths,2020-06-30,62
ALB,jhu-deaths,2020-07-01,65
ALB,jhu-deaths,2020-07-02,69
ALB,jhu-deaths,2020-07-03,72
ALB,jhu-deaths,2020-07-04,74
ALB,jhu-deaths,2020-07-05,76
ALB,jhu-deaths,2020-07-06,79
ALB,jhu-deaths,2020-07-07,81
ALB,jhu-deaths,2020-07-08,83
ALB,jhu-deaths,2020-07-09,83
ALB,jhu-deaths,2020-07-10,85
ALB,jhu-deaths,2020-07-11,89
ALB,jhu-deaths,2020-07-12,93
ALB,jhu-deaths,2020-07-13,95
ALB,jhu-deaths,2020-07-14,97
ALB,jhu-deaths,2020-07-15,101
ALB,jhu-deaths,2020-07-16,104
ALB,jhu-deaths,2020-07-17,107
ALB,jhu-deaths,2020-07-18,111
ALB,jhu-deaths,2020-07-19,112
ALB,jhu-deaths,2020-07-20,113
ALB,jhu-deaths,2020-07-21,117
ALB,jhu-deaths,2020-07-22,120
ALB,jhu-deaths,2020-07-23,123
ALB,jhu-deaths,2020-07-24,128
ALB,jhu-deaths,2020-07-25,134
AND,jhu-deaths,2020-01-22,0
AND,jhu-deaths,2020-01-23,0
AND,jhu-deaths,2020-01-24,0
AND,jhu-deaths,2020-01-25,0
AND,jhu-deaths,2020-01-26,0
AND,jhu-deaths,2020-01-27,0
AND,jhu-deaths,2020-01-28,0
AND,jhu-deaths,2020-01-29,0
AND,jhu-deaths,2020-01-30,0
AND,jhu-deaths,2020-01-31,0
AND,jhu-deaths,2020-02-01,0
AND,jhu-deaths,2020-02-02,0
AND,jhu-deaths,2020-02-03,0
AND,jhu-deaths,2020-02-04,0
AND,jhu-deaths,2020-02-05,0
AND,jhu-deaths,2020-02-06,0
AND,jhu-deaths,2020-02-07,0
AND,jhu-deaths,2020-02-08,0
AND,jhu-deaths,2020-02-09,0
AND,jhu-deaths,2020-02-10,0
AND,jhu-deaths,2020-02-11,0
AND,jhu-deaths,2020-02-12,0
AND,jhu-deaths,2020-02-13,0
AND,jhu-deaths,2020-02-14,0
AND,jhu-deaths,2020-02-15,0
AND,jhu-deaths,2020-02-16,0
AND,jhu-deaths,2020-02-17,0
AND,jhu-deaths,2020-02-18,0
AND,jhu-deaths,2020-02-19,0
AND,jhu-deaths,2020-02-20,0
AND,jhu-deaths,2020-02-21,0
AND,jhu-deaths,2020-02-22,0
AND,jhu-deaths,2020-02-23,0
AND,jhu-deaths,2020-02-24,0
AND,jhu-deaths,2020-02-25,0
AND,jhu-deaths,2020-02-26,0
AND,jhu-deaths,2020-02-27,0
AND,jhu-deaths,2020-02-28,0
AND,jhu-deaths,2020-02-29,0
AND,jhu-deaths,2020-03-01,0
AND,jhu-deaths,2020-03-02,0
AND,jhu-deaths,2020-03-03,0
AND,jhu-deaths,2020-03-04,0
AND,jhu-deaths,2020-03-05,0
AND,jhu-deaths,2020-03-06,0
AND,jhu-deaths,2020-03-07,0
AND,jhu-deaths,2020-03-08,0
AND,jhu-deaths,2020-03-09,0
AND,jhu-deaths,2020-03-10,0
AND,jhu-deaths,2020-03-11,0
AND,jhu-deaths,2020-03-12,0
AND,jhu-deaths,2020-03-13,0
AND,jhu-deaths,2020-03-14,0
AND,jhu-deaths,2020-03-15,0
AND,jhu-deaths,2020-03-16,0
AND,jhu-deaths,2020-03-17,0
AND,jhu-deaths,2020-03-18,0
AND,jhu-deaths,2020-03-19,0
AND,jhu-deaths,2020-03-20,0
AND,jhu-deaths,2020-03-21,0
AND,jhu-deaths,2020-03-22,1
AND,jhu-deaths,2020-03-23,1
AND,jhu-deaths,2020-03-24,1
AND,jhu-deaths,2020-03-25,1
AND,jhu-deaths,2020-03-26,3
AND,jhu-deaths,2020-03-27,3
AND,jhu-deaths,2020-03-28,3
AND,jhu-deaths,2020-03-29,6
AND,jhu-deaths,2020-03-30,8
AND,jhu-deaths,2020-03-31,12
AND,jhu-deaths,2020-04-01,14
AND,jhu-deaths,2020-04-02,15
AND,jhu-deaths,2020-04-03,16
AND,jhu-deaths,2020-04-04,17
AND,jhu-deaths,2020-04-05,18
AND,jhu-deaths,2020-04-06,21
AND,jhu-deaths,2020-04-07,22
AND,jhu-deaths,2020-04-08,23
AND,jhu-deaths,2020-04-09,25
AND,jhu-deaths,2020-04-10,26
AND,jhu-deaths,2020-04-11,26
AND,jhu-deaths,2020-04-12,29
AND,jhu-deaths,2020-04-13,29
AND,jhu-deaths,2020-04-14,31
AND,jhu-deaths,2020-04-15,33
AND,jhu-deaths,2020-04-16,33
AND,jhu-deaths,2020-04-17,35
AND,jhu-deaths,2020-04-18,35
AND,jhu-deaths,2020-04-19,36
AND,jhu-deaths,2020-04-20,37
AND,jhu-deaths,2020-04-21,37
AND,jhu-deaths,2020-04-22,37
AND,jhu-deaths,2020-04-23,37
AND,jhu-deaths,2020-04-24,40
AND,jhu-deaths,2020-04-25,40
AND,jhu-deaths,2020-04-26,40
AND,jhu-deaths,2020-04-27,40
AND,jhu-deaths,2020-04-28,41
AND,jhu-deaths,2020-04-29,42
AND,jhu-deaths,2020-04-30,42
AND,jhu-deaths,2020-05-01,43
AND,jhu-deaths,2020-05-02,44
AND,jhu-deaths,2020-05-03,45
AND,jhu-deaths,2020-05-04,45
AND,jhu-deaths,2020-05-05,46
AND,jhu-deaths,2020-05-06,46
AND,jhu-deaths,2020-05-07,47
AND,jhu-deaths,2020-05-08,47
AND,jhu-deaths,2020-05-09,48
AND,jhu-deaths,2020-05-10,48
AND,jhu-deaths,2020-05-11,48
