iso_code,country,date,ox_stringency_index
LUX,Luxembourg,2020-03-21,79.63
LUX,Luxembourg,2020-03-22,79.63
LUX,Luxembourg,2020-03-23,79.63
LUX,Luxembourg,2020-03-24,79.63
LUX,Luxembourg,2020-03-25,79.63
LUX,Luxembourg,2020-03-26,79.63
LUX,Luxembourg,2020-03-27,79.63
LUX,Luxembourg,2020-03-28,79.63
LUX,Luxembourg,2020-03-29,79.63
LUX,Luxembourg,2020-03-30,79.63
LUX,Luxembourg,2020-03-31,79.63
LUX,Luxembourg,2020-04-01,79.63
LUX,Luxembourg,2020-04-02,79.63
LUX,Luxembourg,2020-04-03,79.63
LUX,Luxembourg,2020-04-04,79.63
LUX,Luxembourg,2020-04-05,79.63
LUX,Luxembourg,2020-04-06,79.63
LUX,Luxembourg,2020-04-07,79.63
LUX,Luxembourg,2020-04-08,79.63
LUX,Luxembourg,2020-04-09,79.63
LUX,Luxembourg,2020-04-10,79.63
LUX,Luxembourg,2020-04-11,79.63
LUX,Luxembourg,2020-04-12,79.63
LUX,Luxembourg,2020-04-13,79.63
LUX,Luxembourg,2020-04-14,79.63
LUX,Luxembourg,2020-04-15,79.63
LUX,Luxembourg,2020-04-16,79.63
LUX,Luxembourg,2020-04-17,79.63
LUX,Luxembourg,2020-04-18,79.63
LUX,Luxembourg,2020-04-19,79.63
LUX,Luxembourg,2020-04-20,70.37
LUX,Luxembourg,2020-04-21,70.37
LUX,Luxembourg,2020-04-22,70.37
LUX,Luxembourg,2020-04-23,70.37
LUX,Luxembourg,2020-04-24,70.37
LUX,Luxembourg,2020-04-25,70.37
LUX,Luxembourg,2020-04-26,70.37
LUX,Luxembourg,2020-04-27,70.37
LUX,Luxembourg,2020-04-28,70.37
LUX,Luxembourg,2020-04-29,70.37
LUX,Luxembourg,2020-04-30,70.37
LUX,Luxembourg,2020-05-01,70.37
LUX,Luxembourg,2020-05-02,70.37
LUX,Luxembourg,2020-05-03,70.37
LUX,Luxembourg,2020-05-04,70.37
LUX,Luxembourg,2020-05-05,70.37
LUX,Luxembourg,2020-05-06,70.37
LUX,Luxembourg,2020-05-07,70.37
LUX,Luxembourg,2020-05-08,70.37
LUX,Luxembourg,2020-05-09,70.37
LUX,Luxembourg,2020-05-10,70.37
LUX,Luxembourg,2020-05-11,56.48
LUX,Luxembourg,2020-05-12,56.48
LUX,Luxembourg,2020-05-13,56.48
LUX,Luxembourg,2020-05-14,56.48
LUX,Luxembourg,2020-05-15,56.48
LUX,Luxembourg,2020-05-16,56.48
LUX,Luxembourg,2020-05-17,56.48
LUX,Luxembourg,2020-05-18,56.48
LUX,Luxembourg,2020-05-19,56.48
LUX,Luxembourg,2020-05-20,56.48
LUX,Luxembourg,2020-05-21,56.48
LUX,Luxembourg,2020-05-22,56.48
LUX,Luxembourg,2020-05-23,56.48
LUX,Luxembourg,2020-05-24,56.48
LUX,Luxembourg,2020-05-25,43.52
LUX,Luxembourg,2020-05-26,43.52
LUX,Luxembourg,2020-05-27,43.52
LUX,Luxembourg,2020-05-28,43.52
LUX,Luxembourg,2020-05-29,43.52
LUX,Luxembourg,2020-05-30,43.52
LUX,Luxembourg,2020-05-31,43.52
LUX,Luxembourg,2020-06-01,43.52
LUX,Luxembourg,2020-06-02,43.52
LUX,Luxembourg,2020-06-03,43.52
LUX,Luxembourg,2020-06-04,43.52
LUX,Luxembourg,2020-06-05,43.52
LUX,Luxembourg,2020-06-06,43.52
LUX,Luxembourg,2020-06-07,43.52
LUX,Luxembourg,2020-06-08,43.52
LUX,Luxembourg,2020-06-09,43.52
LUX,Luxembourg,2020-06-10,43.52
LUX,Luxembourg,2020-06-11,37.96
LUX,Luxembourg,2020-06-12,37.96
LUX,Luxembourg,2020-06-13,37.96
LUX,Luxembourg,2020-06-14,37.96
LUX,Luxembourg,2020-06-15,37.96
LUX,Luxembourg,2020-06-16,37.96
LUX,Luxembourg,2020-06-17,37.96
LUX,Luxembourg,2020-06-18,37.96
LUX,Luxembourg,2020-06-19,37.96
LUX,Luxembourg,2020-06-20,37.96
LUX,Luxembourg,2020-06-21,37.96
LUX,Luxembourg,2020-06-22,37.96
LUX,Luxembourg,2020-06-23,37.96
LUX,Luxembourg,2020-06-24,37.96
LUX,Luxembourg,2020-06-25,37.96
LUX,Luxembourg,2020-06-26,24.07
LUX,Luxembourg,2020-06-27,24.07
LUX,Luxembourg,2020-06-28,24.07
LUX,Luxembourg,2020-06-29,24.07
